,District,Year-Month,CommName,Year,Month,Arrivals,Model,Weighted_Modal
245,Jangaon,2015-10-01,Paddy,2015,Oct,18250.0,1217.25,1215.1386849315068
246,Jangaon,2016-10-01,Maize,2016,Oct,14163.0,1393.2105263157894,1380.5038480547908
247,Jangaon,2016-10-01,Paddy,2016,Oct,37175.0,1423.2368421052631,1425.2614122394082
248,Jangaon,2016-11-01,Cotton,2016,Nov,1012.16,4657.833333333333,4699.217515017389
249,Jangaon,2016-11-01,Maize,2016,Nov,9538.96,1354.0425531914893,1356.8755713411108
250,Jangaon,2016-11-01,Paddy,2016,Nov,29242.76,1500.6436781609195,1476.7649006682907
251,Jangaon,2016-12-01,Cotton,2016,Dec,4274.0,4752.083333333333,4759.429106223678
252,Jangaon,2016-12-01,Maize,2016,Dec,2097.0,1395.1639344262296,1397.5298044825943
253,Jangaon,2016-12-01,Paddy,2016,Dec,19627.0,1481.796388888889,1461.3144282535964
254,Jangaon,2017-01-01,Cotton,2017,Jan,3994.0,5247.727272727273,5254.481722583876
255,Jangaon,2017-01-01,Maize,2017,Jan,527.0,1413.7407407407406,1416.5654648956356
256,Jangaon,2017-01-01,Paddy,2017,Jan,1419.0,1394.1666666666667,1406.0435752877615
257,Jangaon,2017-02-01,Cotton,2017,Feb,3814.0,5340.476190476191,5340.220241216571
258,Jangaon,2017-02-01,Maize,2017,Feb,693.0,1429.2941176470588,1433.4083694083695
259,Jangaon,2017-03-01,Cotton,2017,Mar,2098.0,5189.583333333333,5222.688274547188
260,Jangaon,2017-03-01,Maize,2017,Mar,3525.0,1421.1944444444443,1407.1117730496453
261,Jangaon,2017-04-01,Cotton,2017,Apr,498.0,5003.636363636364,5066.305220883534
262,Jangaon,2017-04-01,Maize,2017,Apr,3650.0,1462.46875,1425.178904109589
263,Jangaon,2017-04-01,Paddy,2017,Apr,68853.4,1481.6666666666665,1434.5757120684427
264,Jangaon,2017-05-01,Cotton,2017,May,394.0,4856.818181818182,4861.675126903553
265,Jangaon,2017-05-01,Maize,2017,May,1284.0,1499.2105263157894,1503.03738317757
266,Jangaon,2017-05-01,Paddy,2017,May,45789.9,1491.8333333333333,1465.881449839375
267,Jangaon,2017-06-01,Cotton,2017,Jun,378.0,4842.857142857143,4849.206349206349
268,Jangaon,2017-06-01,Maize,2017,Jun,200.0,1507.2222222222222,1504.25
269,Jangaon,2017-06-01,Paddy,2017,Jun,28.0,1465.0,1465.0
270,Jangaon,2017-07-01,Cotton,2017,Jul,234.0,4788.333333333333,4832.393162393162
271,Jangaon,2017-07-01,Maize,2017,Jul,44.0,1650.0,1651.8181818181818
272,Jangaon,2017-07-01,Paddy,2017,Jul,14.0,1515.0,1515.0
273,Jangaon,2017-08-01,Paddy,2017,Aug,356.9,1359.888888888889,1364.5476323900252
274,Jangaon,2017-09-01,Maize,2017,Sep,557.0,1248.3333333333333,1247.7109515260322
275,Jangaon,2017-09-01,Paddy,2017,Sep,22411.6,1395.4285714285713,1400.866098359778
276,Jangaon,2017-10-01,Cotton,2017,Oct,4302.0,3939.677777777778,4003.075081357508
277,Jangaon,2017-10-01,Maize,2017,Oct,6054.3,1321.342105263158,1313.0999454932858
278,Jangaon,2017-10-01,Paddy,2017,Oct,54520.25,1444.4785714285715,1399.8942282913229
279,Jangaon,2017-11-01,Cotton,2017,Nov,99279.1,4156.739436619719,4076.204714788913
280,Jangaon,2017-11-01,Maize,2017,Nov,2257.0,1281.6774193548388,1275.8015064244573
281,Jangaon,2017-11-01,Paddy,2017,Nov,50231.0,1564.5073446327683,1549.2775829003338
